id,user,text,rating,created_at
1,user087,협찬 받아 작성한 후기입니다. 생각보다 너무 작고 부실해요 👍,2,2026/06/18 02:37
2,user072,협찬 받아 작성한 후기입니다. 배송이 정말 빨라서 깜짝 놀랐어요 👍,4,23.02.2026
3,user021,배송이 일주일이나 걸렸습니다 별로 ㅠㅠ,2,2026-06-14T10:17:00
4,user045,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요 😡,4,
5,user047,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ,5,2026-05-07
6,user059,[광고] 지금 구매하면 사은품 증정! 가성비 최고입니다 또 살게요 👍,5,2026/06/27 11:10
7,user069,가성비 최고입니다 또 살게요,5,08.06.2026
8,user005,사이즈도 딱 맞고 마감이 깔끔해요 🔥,4,2026-03-13T08:04:00
9,user083,협찬 받아 작성한 후기입니다. 재구매 의사 100% 강추합니다 🙏 https://example.com/event,5,
10,user029,재구매 의사 100% 강추합니다 😡,5,2026-02-17
11,user050,생각보다 너무 작고 부실해요 😍 https://example.com/event,1,2026/04/20 14:33
12,user099,재구매 의사 100% 강추합니다,4,11.06.2026
13,user065,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ,4,2026-01-28T20:19:00
14,user100,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 🔥,1,
15,user073,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요 👍,5,2026-01-03
16,user068,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 🙏,1,2026/05/14 06:59
17,user084,고객센터 연결도 안 되고 최악이에요 ㅠㅠ https://example.com/event,1,15.03.2026
18,user076,구매처: http://shop.example.com 방문하세요 가성비 최고입니다 또 살게요,4,2026-02-01T02:45:00
19,user036,[광고] 지금 구매하면 사은품 증정! 배송이 일주일이나 걸렸습니다 별로 🔥,1,
20,user013,협찬 받아 작성한 후기입니다. 재구매 의사 100% 강추합니다 🙏 https://example.com/event,5,2026-06-14
21,user044,사이즈도 딱 맞고 마감이 깔끔해요,4,2026/01/08 06:12
22,user119,협찬 받아 작성한 후기입니다. 배송이 일주일이나 걸렸습니다 별로 ㅠㅠ https://example.com/event,2,15.01.2026
23,user062,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 👍,4,2026-02-28T12:57:00
24,user090,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ https://example.com/event,4,
25,user070,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 👍,1,2026-01-24
26,user009,[광고] 지금 구매하면 사은품 증정! 색감이 사진이랑 똑같아서 만족합니다,4,2026/06/28 07:25
27,user085,재구매 의사 100% 강추합니다,4,19.05.2026
28,user017,무난합니다 그냥 평타 🔥,3,2026-06-21T09:29:00
29,user065,배송이 정말 빨라서 깜짝 놀랐어요,4,
30,user091,구매처: http://shop.example.com 방문하세요 가성비 최고입니다 또 살게요 😍 https://example.com/event,5,2026-03-20
31,user114,재구매 의사 100% 강추합니다,5,2026/01/24 17:09
32,user110,재구매 의사 100% 강추합니다 🔥,4,17.03.2026
33,user043,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 😡 http://bit.ly/abc123,,2026-02-21T08:10:00
34,user114,냄새가 너무 심해서 못 쓰겠어요,2,
35,user116,냄새가 너무 심해서 못 쓰겠어요 😍,1,2026-01-12
36,user119,배송이 정말 빨라서 깜짝 놀랐어요 😡,5,2026/02/28 05:51
37,user111,협찬 받아 작성한 후기입니다. 한 번 쓰고 고장났습니다 환불 원해요 🔥 https://example.com/event,1,26.06.2026
38,user105,사이즈도 딱 맞고 마감이 깔끔해요 https://example.com/event,4,2026-04-12T09:52:00
39,user111,[광고] 지금 구매하면 사은품 증정! 배송이 일주일이나 걸렸습니다 별로 👍 https://example.com/event,1,
40,user034,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 http://bit.ly/abc123,2,2026-01-04
41,user025,포장도 꼼꼼하고 품질이 기대 이상이에요 https://example.com/event,5,2026/03/02 22:27
42,user118,구매처: http://shop.example.com 방문하세요 재구매 의사 100% 강추합니다 😡,4,20.03.2026
43,user090,고객센터 연결도 안 되고 최악이에요 ㅠㅠ https://example.com/event,2,2026-03-18T04:12:00
44,user001,색감이 사진이랑 똑같아서 만족합니다 ㅠㅠ https://example.com/event,4,
